"","date","trust_code","covid_flag","admitted_pathways","non_admitted_pathways","incomplete_pathways","incomplete_pathways_with_dta","new_rtt_periods_all_patients","audiology_audiology_assessments","barium_enema","cardiology_echocardiography","cardiology_electrophysiology","colonoscopy","computed_tomography","cystoscopy","dexa_scan","flexi_sigmoidoscopy","gastroscopy","magnetic_resonance_imaging","neurophysiology_peripheral_neurophysiology","non_obstetric_ultrasound","respiratory_physiology_sleep_studies","total","urodynamics_pressures_flows","audiology_assessments","ct","echocardiography","electrophysiology","mri","peripheral_neurophys","sleep_studies","urodynamics","all_diagnostics_tests","operating_theatres","X","occupied_beds","bed_capacity","ratio_doctors","doctors","senior_doctors","nurses","managers","all_ftes","CatchmentYear","trust_total_catchment","date_yr","total_pathways","years_since_covid"
"75",2018 Q2,"RJL","pre-covid",5327,20934,89982,22886,29625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5008,674.20652173913,804.413043478261,0,0,0,0,0,0,2020,313929,2018,26261,"0_yrs"
"76",2018 Q2,"RJN","pre-covid",2216,7373,24732,6737,9786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5009,292.510869565217,336.521739130435,0,0,0,0,0,0,2020,123905,2018,9589,"0_yrs"
"77",2018 Q2,"RJR","pre-covid",5148,14668,63047,16474,20587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5010,511.967391304348,559.945652173913,0,0,0,0,0,0,2020,188523,2018,19816,"0_yrs"
"78",2018 Q2,"RJZ","pre-covid",11582,52901,228301,49409,85193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5124,1266.5,1339.0652173913,0,0,0,0,0,0,2020,852160,2018,64483,"0_yrs"
"79",2018 Q2,"RK5","pre-covid",3895,23694,73652,9293,29938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5070,535.717391304348,650.195652173913,0,0,0,0,0,0,2020,291492,2018,27589,"0_yrs"
"80",2018 Q2,"RK9","pre-covid",7913,21606,77753,22062,34273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5159,813.04347826087,895.597826086957,0,0,0,0,0,0,2020,472784,2018,29519,"0_yrs"
"81",2018 Q2,"RKB","pre-covid",9522,23506,95155,32232,37361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5071,1062,1132,0,0,0,0,0,0,2020,570368,2018,33028,"0_yrs"
"82",2018 Q2,"RKE","pre-covid",1051,13884,49376,2955,24372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5125,263.336956521739,336.478260869565,0,0,0,0,0,0,2020,186090,2018,14935,"0_yrs"
"83",2018 Q2,"RL4","pre-covid",6515,28104,102148,54926,42897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5073,781.130434782609,859,0,0,0,0,0,0,2020,431600,2018,34619,"0_yrs"
"84",2018 Q2,"RLN","pre-covid",8096,26040,83337,18231,44177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5011,595.076086956522,759.673913043478,0,0,0,0,0,0,0,0,2018,34136,"0_yrs"
