,cal_quarter,PROCODE,standard_los
592,Q1   2022,RXK,6.113113982
593,Q1   2022,RXL,8.41967171
594,Q1   2022,RXN,7.867583607
595,Q1   2022,RXP,6.211257203
596,Q1   2022,RXQ,8.423216078
597,Q1   2022,RXR,7.279806379
598,Q1   2022,RXW,6.555215557
599,Q1   2022,RYJ,7.591227324
600,Q1   2022,RYR,8.18813425
601,Q1   2023,R0A,9.233691239
602,Q1   2023,R0B,8.76031179
603,Q1   2023,R0D,0
604,Q1   2023,R1F,8.510275655
605,Q1   2023,R1H,7.78851346
606,Q1   2023,R1K,6.856640159
607,Q1   2023,RA2,4.298953374
608,Q1   2023,RA4,8.987536719
609,Q1   2023,RA7,6.893372657
610,Q1   2023,RA9,7.850409458
611,Q1   2023,RAE,6.713987421
612,Q1   2023,RAJ,7.154968785
613,Q1   2023,RAL,8.281626981
614,Q1   2023,RAP,10.26641728
615,Q1   2023,RAS,7.092660909
616,Q1   2023,RAX,7.569653972
617,Q1   2023,RBK,7.800422555
618,Q1   2023,RBL,8.081559197
619,Q1   2023,RBN,6.770792344
620,Q1   2023,RBT,9.281194886
621,Q1   2023,RC9,6.510870219
622,Q1   2023,RCB,7.372241374
623,Q1   2023,RCD,6.512936838
624,Q1   2023,RCF,6.735015715
625,Q1   2023,RCX,9.110243285
626,Q1   2023,RD1,6.595633109
627,Q1   2023,RD8,3.999130256
628,Q1   2023,RDE,7.348384968
629,Q1   2023,REF,7.604811786
630,Q1   2023,REM,8.95949175
631,Q1   2023,RF4,9.014562249
632,Q1   2023,RFF,6.2371069
633,Q1   2023,RFR,6.510429615
634,Q1   2023,RFS,5.646335537
635,Q1   2023,RGN,7.832966595
636,Q1   2023,RGP,10.67185372
637,Q1   2023,RGR,7.839153186
638,Q1   2023,RGT,9.043040041
639,Q1   2023,RH5,10.40642106
640,Q1   2023,RH8,7.157869074
641,Q1   2023,RHM,7.224785004
642,Q1   2023,RHQ,7.439030061
643,Q1   2023,RHU,7.033275992
644,Q1   2023,RHW,6.470076922
645,Q1   2023,RJ1,6.884558416
646,Q1   2023,RJ2,8.407741467
647,Q1   2023,RJ6,9.045482194
648,Q1   2023,RJ7,8.728764591
649,Q1   2023,RJC,6.812837205
650,Q1   2023,RJE,7.054440077
651,Q1   2023,RJL,6.674773855
652,Q1   2023,RJN,9.402528699
653,Q1   2023,RJR,10.65871529
654,Q1   2023,RJZ,9.150375892
655,Q1   2023,RK5,7.184801995
656,Q1   2023,RK9,9.129213465
657,Q1   2023,RKB,7.211784462
658,Q1   2023,RKE,9.27969801
659,Q1   2023,RL4,6.790724801
660,Q1   2023,RLQ,14.93379295
661,Q1   2023,RLT,7.982266201
662,Q1   2023,RM1,7.65826557
663,Q1   2023,RM3,7.844766882
664,Q1   2023,RMC,8.476466487
665,Q1   2023,RMP,7.205586959
666,Q1   2023,RN3,6.422576578
667,Q1   2023,RN5,2.889694831
668,Q1   2023,RN7,9.162453146
669,Q1   2023,RNA,11.40270664
670,Q1   2023,RNN,9.67693909
671,Q1   2023,RNQ,7.947666058
672,Q1   2023,RNS,8.412637012
673,Q1   2023,RNZ,7.380104044
674,Q1   2023,RP5,7.682762922
675,Q1   2023,RPA,8.342750761
676,Q1   2023,RQM,8.232870377
677,Q1   2023,RQW,6.771252127
678,Q1   2023,RQX,6.186680482
679,Q1   2023,RR7,8.269073669
680,Q1   2023,RR8,8.89171376
681,Q1   2023,RRF,6.638265134
682,Q1   2023,RRK,7.100910334
683,Q1   2023,RRV,6.969638254
684,Q1   2023,RTD,7.540542968
685,Q1   2023,RTE,8.429065917
686,Q1   2023,RTF,6.268717335
687,Q1   2023,RTG,7.203774302
688,Q1   2023,RTH,6.675293986
689,Q1   2023,RTK,6.702121146
690,Q1   2023,RTP,8.762734112
691,Q1   2023,RTR,7.555899193
692,Q1   2023,RTX,8.370143059
693,Q1   2023,RVJ,7.429063551
694,Q1   2023,RVR,7.683871634
695,Q1   2023,RVV,9.044737436
696,Q1   2023,RVW,5.709403588
697,Q1   2023,RVY,8.552863565
698,Q1   2023,RWA,8.030123653
699,Q1   2023,RWD,7.783015633
700,Q1   2023,RWE,6.784669633
701,Q1   2023,RWF,6.115681934
702,Q1   2023,RWG,4.193850137
703,Q1   2023,RWH,6.793515417
704,Q1   2023,RWJ,7.437944749
705,Q1   2023,RWP,6.145622402
706,Q1   2023,RWW,31.4778627
707,Q1   2023,RWY,6.027530075
708,Q1   2023,RX1,8.010081031
709,Q1   2023,RXC,8.794267518
710,Q1   2023,RXF,5.361398543
711,Q1   2023,RXK,6.263226692
712,Q1   2023,RXL,9.373303072
713,Q1   2023,RXN,8.078537295
714,Q1   2023,RXP,12.9500735
715,Q1   2023,RXQ,9.4529282
716,Q1   2023,RXR,8.029818597
717,Q1   2023,RXW,6.84821149
718,Q1   2023,RYJ,7.860776106
719,Q1   2023,RYR,9.961473892
720,Q2   2018,R0A,7.313988512
721,Q2   2018,R1F,8.42205734
722,Q2   2018,R1H,6.133039626
723,Q2   2018,R1K,6.794124599
724,Q2   2018,RA2,5.769944306
725,Q2   2018,RA4,6.101197459
726,Q2   2018,RA7,6.208747116
